task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
377	f7/8820e9	46457	Post_MultiQC (Generating post fastqc, multiQC report)	COMPLETED	0	2021-04-07 17:19:32.737	1m 38s	1m 37s	103.1%	327.6 MB	3.2 GB	10.8 GB	11.4 MB
375	a2/5431c9	22804	USEARCH_MERGE (Merging reads)	COMPLETED	0	2021-04-07 17:19:00.158	13m 49s	13m 40s	819.6%	275.5 MB	546.7 MB	61 GB	33.5 GB
378	cc/18eef1	59526	FILTER (1)	COMPLETED	0	2021-04-07 17:32:48.952	9m 2s	9m 1s	98.0%	3.3 MB	130.6 MB	10.9 GB	4.5 GB
379	dc/2fd4f6	3439	ORIENT (1)	COMPLETED	0	2021-04-07 17:41:50.614	5m 16s	5m 16s	95.0%	349.6 MB	573.5 MB	4.5 GB	4.9 GB
380	c7/d8b766	8713	DEREPLICATION (1)	COMPLETED	0	2021-04-07 17:47:06.850	44s	43.8s	100.4%	295.9 MB	423.2 MB	4.5 GB	196.8 MB
381	13/4fce98	9859	CHIMERA_DETECTION (1)	COMPLETED	0	2021-04-07 17:47:50.900	19m 8s	19m 8s	5158.1%	933.3 MB	5.3 GB	204 MB	260.1 MB
382	fd/a99fba	9861	CLUSTER_OTUS_U (1)	COMPLETED	0	2021-04-07 17:47:50.914	26m 30s	26m 30s	1338.1%	272.2 MB	4.7 GB	4.7 GB	1.2 MB
384	c4/279dcd	28538	OTUTABLE_TO_ARTIFACT (Converting OTU Table:)	COMPLETED	0	2021-04-07 18:14:21.149	2.5s	2.3s	510.6%	79.8 MB	11.3 GB	16.2 MB	290.8 KB
383	f8/bb4943	28541	OTU_CONVERSION (OTU conversion)	COMPLETED	0	2021-04-07 18:14:21.156	8s	7.8s	219.5%	183.6 MB	10.8 GB	39 MB	548.2 KB
385	fb/e8aa0a	29128	FEATURE_TABLE (Generating Feature Table)	COMPLETED	0	2021-04-07 18:14:23.696	7.7s	7.5s	218.6%	183.9 MB	10.8 GB	38.3 MB	606 KB
388	7d/2cd627	30222	INTRO_DIVERSITY (Introduction to diversity)	COMPLETED	0	2021-04-07 18:14:31.467	12.3s	12.1s	226.5%	196.3 MB	11 GB	69.1 MB	14.1 MB
390	0b/c1f8f1	32673	BETA_DIVERSITY (evaluate beta_diversity)	COMPLETED	0	2021-04-07 18:14:43.784	9.1s	8.8s	176.8%	189.8 MB	10.8 GB	47.9 MB	6 MB
389	ed/f22d79	32685	SHANNON_DIVERSITY (evaluate shannon_diversity)	COMPLETED	0	2021-04-07 18:14:43.801	19.2s	19s	137.1%	196.7 MB	10.8 GB	44.8 MB	4.5 MB
391	35/4d83fc	32671	ALPHA_DIVERSITY ( evaluate alpha_diversity)	COMPLETED	0	2021-04-07 18:14:43.778	20.2s	20s	134.4%	195.3 MB	10.8 GB	44.8 MB	4.5 MB
386	ba/ee5ae6	29850	MAFFT_ALIGNMENT_PLUS (Running MAFFT_alignment,masking_aligned_otus,generating a phylogenetic tree and rooting)	COMPLETED	0	2021-04-07 18:14:29.147	3m 8s	3m 7s	105.5%	244 MB	11.1 GB	76.8 MB	15.8 MB
387	c8/bba07a	30220	TAXONOMIC_BARPLOT (generate taxonomic barplot)	COMPLETED	0	2021-04-07 18:14:31.462	3m 48s	3m 48s	112.2%	1.3 GB	11.5 GB	1.5 GB	1.4 GB
